### Module positions - created on 2022-01-06 18:32
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 0.000mm, Pcb Width 0.000mm [based on Edge bounding box]
## Side : top
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
D17           D_Small             D_0603_1608Metric_Pad1.05x0.. 10.0000    123.3750   10.0000    122.5000     90.0    top       SMD
D16           D_Small             D_0603_1608Metric_Pad1.05x0.. -8.5000    123.2500   -8.5000    122.3750     90.0    top       SMD
D15           D_Small             D_0603_1608Metric_Pad1.05x0.. 313.0000   158.0000   313.0000   157.1250     90.0    top       SMD
D14           D_Small             D_0603_1608Metric_Pad1.05x0.. 266.5000   154.7500   266.5000   153.8750     90.0    top       SMD
D13           D_Small             D_0603_1608Metric_Pad1.05x0.. 237.5000   155.6250   237.5000   154.7500     90.0    top       SMD
D12           D_Small             D_0603_1608Metric_Pad1.05x0.. 218.2500   156.2500   218.2500   155.3750     90.0    top       SMD
D11           D_Small             D_0603_1608Metric_Pad1.05x0.. 198.2500   156.0000   198.2500   155.1250     90.0    top       SMD
D10           D_Small             D_0603_1608Metric_Pad1.05x0.. 177.5000   155.8750   177.5000   155.0000     90.0    top       SMD
D9            D_Small             D_0603_1608Metric_Pad1.05x0.. 154.0000   157.0000   154.0000   156.1250     90.0    top       SMD
D8            D_Small             D_0603_1608Metric_Pad1.05x0.. 133.7500   157.8750   133.7500   157.0000     90.0    top       SMD
D7            D_Small             D_0603_1608Metric_Pad1.05x0.. 116.0000   159.3750   116.0000   158.5000     90.0    top       SMD
D6            D_Small             D_0603_1608Metric_Pad1.05x0.. 93.5000    157.3750   93.5000    156.5000     90.0    top       SMD
D5            D_Small             D_0603_1608Metric_Pad1.05x0.. 71.2500    158.2500   71.2500    157.3750     90.0    top       SMD
D4            D_Small             D_0603_1608Metric_Pad1.05x0.. 52.7500    158.6250   52.7500    157.7500     90.0    top       SMD
D3            D_Small             D_0603_1608Metric_Pad1.05x0.. 32.2500    158.3750   32.2500    157.5000     90.0    top       SMD
D2            D_Small             D_0603_1608Metric_Pad1.05x0.. 12.7500    158.1250   12.7500    157.2500     90.0    top       SMD
D1            D_Small             D_0603_1608Metric_Pad1.05x0.. -10.2500   157.2500   -10.2500   156.3750     90.0    top       SMD
CTL1          MX-NoLED            SW_Hotswap_Kailh_1.00u        232.2500   45.2500    225.1650   47.7900       0.0    top       SMD
CLT1          MX-NoLED            SW_Hotswap_Kailh_1.00u        -7.2500    44.5000    -14.3350   47.0400       0.0    top       SMD
CAPS1         MX-NoLED            SW_Hotswap_Kailh_1.00u        -4.2500    89.5000    -11.3350   92.0400       0.0    top       SMD
C1            MX-NoLED            SW_Hotswap_Kailh_1.00u        64.2500    67.7500    57.1650    70.2900       0.0    top       SMD
BACK1         MX-NoLED            SW_Hotswap_Kailh_1.00u        251.5000   129.7500   244.4150   132.2900      0.0    top       SMD
B1            MX-NoLED            SW_Hotswap_Kailh_1.00u        112.5000   67.5000    105.4150   70.0400       0.0    top       SMD
ALT2          MX-NoLED            SW_Hotswap_Kailh_1.00u        175.7500   46.5000    168.6650   49.0400       0.0    top       SMD
ALT1          MX-NoLED            SW_Hotswap_Kailh_1.00u        36.5000    43.7500    29.4150    46.2900       0.0    top       SMD
A1            MX-NoLED            SW_Hotswap_Kailh_1.00u        24.0000    88.5000    16.9150    91.0400       0.0    top       SMD
;1            MX-NoLED            SW_Hotswap_Kailh_1.00u        196.0000   87.5000    188.9150   90.0400       0.0    top       SMD
/1            MX-NoLED            SW_Hotswap_Kailh_1.00u        215.5000   67.2500    208.4150   69.7900       0.0    top       SMD
.1            MX-NoLED            SW_Hotswap_Kailh_1.00u        176.7500   67.0000    169.6650   69.5400       0.0    top       SMD
-1            MX-NoLED            SW_Hotswap_Kailh_1.00u        199.5000   129.7500   192.4150   132.2900      0.0    top       SMD
,1            MX-NoLED            SW_Hotswap_Kailh_1.00u        196.2500   66.7500    189.1650   69.2900       0.0    top       SMD
+1            MX-NoLED            SW_Hotswap_Kailh_1.00u        219.0000   130.0000   211.9150   132.5400      0.0    top       SMD
'1            MX-NoLED            SW_Hotswap_Kailh_1.00u        215.0000   87.5000    207.9150   90.0400       0.0    top       SMD
F2            MX-NoLED            SW_Hotswap_Kailh_1.00u        26.4500    162.7500   19.3650    165.2900      0.0    top       SMD
## End
